code,description
swine-growing_hp_piglet,swine shortly after birth < 4 kg in high prodcutivity systems
swine-growing_lp_piglet,swine shortly after birth < 4 kg in low prodcutivity systems
swine-growing_hp_meat,swine growing for meat production
poultry,poultry (not specified)
poultry_lp,poultry (not specified) in high productivity systems
poultry_hp,poultry (not specified) in low productivity systems
poultry-chicken,chicken
poultry-chicken_hen,chicken hen
poultry-chicken_pullet,chicken pullets (young hen under 1 year)
poultry-chicken_broiler,chicken for broiler/meat
poultry-chicken_lp,chickens in low productivity systems
poultry-chicken_hp,chickens in high productivity systems
poultry-chicken_lp_hen,hens in low productivity systems
poultry-chicken_hp_hen,hens in high productivity systems
poultry-chicken_lp_pullet,pullets (young hen under 1 year) in low productivity systems
poultry-chicken_hp_pullet,pullets (young hen under 1 year) in high productivity systems
poultry-chicken_lp_broiler,chicken for broiler/meat production in low productivity systems
poultry-chicken_hp_broiler,chicken for broiler/meat production in high prodcutivity systems
poultry-chicken_layer,laying hens
poultry-chicken_hp_layer,laying hens in high productivity systems
poultry-chicken_lp_layer,laying hens in low productivity systems
poultry-turkey,turkeys
poultry-turkey_hp,turkeys in high prodcutivity systems
poultry-turkey_lp,turkeys in low productivity systems
poultry-duck,ducks
poultry-duck_hp,ducks in high prodcutivity systems
poultry-duck_lp,ducks in low productivity systems
poultry-duck_breeding,breeding ducks
poultry-duck_meat,ducks for meat production
sheep,sheep (not specified)
sheep-mature,mature sheep
sheep-mature_hp,mature sheep in high productivity system
sheep-mature_lp,mature sheep in low productivity system
sheep-mature_hp_dairy,sheeps for dairy production in high productivity systems
sheep-mature_lp_dairy,sheeps for dairy production in low productivity systems
sheep-mature_hp_wool,sheeps for wool production in high productivity systems
sheep-mature_lp_wool,sheeps for wool production in low productivity systems
sheep-growing,growing sheep
sheep-growing_hp,growing sheeps (lambs) in high productivity systems
sheep-growing_lp,growing sheeps (lambs) in low productivity systems
sheep-growing_hp_meat,sheeps for meat production in high productivity systems
sheep-growing_lp_meat,sheeps for meat production in low productivity systems
sheep-dairy,sheeps for dairy production
mule-ass,mules and assess
mule-ass_hp,mules and assess in high prodcutivity systems
mule-ass_lp,mules and assess in low prodcutivity systems
camel,camels
camel_lp,camels in low prodcutivity systems
camel_hp,camels in high prodcutivity systems
horse,horses
horse_lp,horses in low prodcutivity systems
horse_hp,horses in high prodcutivity systems
furbearing_mink,mink and polecat
furbearing_fox,fox and racoon
goat,goats
goat_hp,goats in high productivity systems
goat_lp,goats in low productivity systems
deer,deers
rabbit,rabbits
ostrich,ostrichs
llama,llamas
geese,geese
reindeer,reindeers
dummy,dummy type for empty tables
